[Fecha 19/11/22 15:55:25] Cliente [252.127.0.0] [Inserción] [7|  ]
[Fecha 19/11/22 15:56:07] Cliente [252.127.0.0] [Inserción] [8|  ]
[Fecha 19/11/22 16:04:16] Cliente [252.127.0.0] [Lectura] [8|  ]
[Fecha 19/11/22 16:04:43] Cliente [127.0.0.1] [Lectura] [8|  ]
[Fecha 19/11/22 16:05:47] Cliente [127.0.0.1] [Lectura] [8|  ]
[Fecha 19/11/22 16:06:43] Cliente [127.0.0.1] [Lectura] [7|  ]
[Fecha 19/11/22 16:06:49] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 19/11/22 16:06:59] Cliente [252.127.0.0] [Lectura] [4|  ]
[Fecha 19/11/22 16:08:32] Cliente [255.127.0.0] [Lectura] [6|  ]
[Fecha 19/11/22 16:09:00] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 19/11/22 16:09:20] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 19/11/22 16:11:00] Cliente [127.0.0.1] [Inserción] [9|  ]
[Fecha 19/11/22 16:23:41] Cliente [183.127.0.0] [Busqueda] [0| 4]
[Fecha 19/11/22 16:24:47] Cliente [127.0.0.1] [Busqueda] [0| pepe]
[Fecha 19/11/22 17:19:10] Cliente [32.0.0.0] [Inserción] [1|  ]
[Fecha 19/11/22 17:19:17] Cliente [32.0.0.0] [Inserción] [2|  ]
[Fecha 19/11/22 17:19:21] Cliente [32.0.0.0] [Inserción] [3|  ]
[Fecha 19/11/22 17:19:25] Cliente [32.0.0.0] [Inserción] [4|  ]
[Fecha 19/11/22 17:20:07] Cliente [103.127.0.0] [Lectura] [4|  ]
[Fecha 19/11/22 17:45:22] Cliente [253.127.0.0] [Lectura] [10000000|  ]
[Fecha 19/11/22 18:07:48] Cliente [32.0.0.0] [Busqueda] [0| fido]
[Fecha 19/11/22 18:08:53] Cliente [32.0.0.0] [Lectura] [9988836|  ]
[Fecha 19/11/22 18:09:17] Cliente [32.0.0.0] [Inserción] [10000001|  ]
[Fecha 19/11/22 18:09:45] Cliente [32.0.0.0] [Lectura] [10000001|  ]
[Fecha 19/11/22 18:09:57] Cliente [32.0.0.0] [Lectura] [10000001|  ]
[Fecha 19/11/22 18:10:25] Cliente [32.0.0.0] [Busqueda] [0| max]
[Fecha 19/11/22 18:12:03] Cliente [32.0.0.0] [Inserción] [10000002|  ]
[Fecha 19/11/22 18:12:25] Cliente [32.0.0.0] [Lectura] [10000002|  ]
[Fecha 19/11/22 18:15:12] Cliente [167.127.0.0] [Lectura] [10000006|  ]
[Fecha 19/11/22 18:15:29] Cliente [167.127.0.0] [Inserción] [10000007|  ]
[Fecha 19/11/22 18:15:50] Cliente [167.127.0.0] [Lectura] [10000007|  ]
[Fecha 19/11/22 18:16:00] Cliente [167.127.0.0] [Borrado] [10000007|  ]
[Fecha 19/11/22 18:16:19] Cliente [167.127.0.0] [Lectura] [10000006|  ]
[Fecha 20/01/25 12:02:53] Cliente [127.0.0.1] [Inserción] [10000007|  ]
[Fecha 20/01/25 12:23:28] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 12:32:42] Cliente [127.0.0.1] [Inserción] [10000008|  ]
[Fecha 20/01/25 12:32:56] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 12:33:01] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 12:36:55] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 12:39:28] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 12:41:55] Cliente [0.0.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 12:42:01] Cliente [0.0.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 12:42:06] Cliente [0.0.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 12:42:26] Cliente [0.0.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 13:23:13] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 13:23:16] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 13:23:21] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:23:27] Cliente [127.0.0.1] [Borrado] [4|  ]
[Fecha 20/01/25 13:23:54] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 13:23:58] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 13:24:07] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 13:26:51] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 13:27:19] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:30:01] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:30:05] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 13:30:51] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 13:30:58] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 20/01/25 13:31:01] Cliente [127.0.0.1] [Borrado] [6|  ]
